,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10
915,4.0,1257.5,3.0,88000.0,2.0,8.0,5.0,101.0,3.0,60018.0
168,5.0,1292.0,3.0,119000.0,2.0,15.0,9.0,107.0,4.0,72001.0
1068,5.0,1364.0,3.0,134000.0,2.0,15.0,5.0,83.0,5.0,72000.0
1017,7.0,1244.0,3.0,84000.0,2.0,11.0,5.0,108.0,4.0,72000.0
528,7.0,1250.0,3.0,82000.0,2.0,11.0,5.0,105.0,5.0,72000.0
678,4.0,1266.5,3.0,87000.0,2.0,8.0,-1.0,98.0,5.0,361029.0
177,4.0,1284.1808176100628,2.0,126000.0,2.0,8.0,-1.0,109.0,5.0,330012.0
1032,4.0,1262.0,3.0,155000.0,2.0,8.0,5.0,110.0,4.0,72001.0
629,7.0,1247.0,3.0,110000.0,2.0,11.0,5.0,91.0,4.0,60007.0
329,7.0,1284.1808176100628,3.0,75000.0,2.0,11.0,9.0,100.0,5.0,450018.0
352,7.0,1241.0,3.0,65000.0,2.0,11.0,9.0,110.0,3.0,151011.0
508,4.0,1268.0,1.0,118000.0,2.0,8.0,-1.0,95.0,3.0,330006.0
515,7.0,1362.5,1.0,150000.0,2.0,11.0,-1.0,90.0,5.0,350020.0
383,5.0,1259.0,3.0,121000.0,2.0,15.0,5.0,91.0,5.0,60064.0
1108,7.0,1259.0,1.0,336000.0,2.0,11.0,9.0,112.0,4.0,60036.0
653,5.0,1284.1808176100628,2.0,102000.0,2.0,15.0,5.0,104.0,3.0,350055.0
1088,4.0,1328.0,3.0,123000.0,1.0,8.0,5.0,99.0,3.0,151009.0
548,7.0,1227.5,3.0,67000.0,2.0,11.0,5.0,85.0,5.0,151009.0
650,7.0,1365.5,1.0,130000.0,2.0,11.0,-1.0,100.0,3.0,341439.0
46,7.0,1317.5,3.0,127000.0,2.0,11.0,9.0,88.0,5.0,71000.0
227,7.0,1284.1808176100628,2.0,75000.0,2.0,11.0,9.0,111.0,4.0,151009.0
391,7.0,1320.5,1.0,140000.0,2.0,11.0,-1.0,108.0,4.0,550039.0
200,4.0,1316.0,1.0,127000.0,2.0,8.0,-1.0,95.0,5.0,330013.0
193,7.0,1419.5,1.0,89000.0,2.0,11.0,5.0,110.0,3.0,350060.0
276,5.0,1307.0,1.0,39000.0,2.0,15.0,9.0,114.0,4.0,450016.0
766,5.0,1250.0,3.0,79000.0,2.0,15.0,5.0,110.0,4.0,72001.0
559,7.0,1262.0,1.0,94000.0,2.0,11.0,5.0,89.0,3.0,60018.0
596,4.0,1241.0,3.0,68000.0,2.0,8.0,5.0,102.0,4.0,60020.0
418,4.0,1233.5,1.0,190000.0,1.0,8.0,-1.0,85.0,3.0,60064.0
460,4.0,1284.1808176100628,2.0,70000.0,2.0,8.0,5.0,90.0,3.0,72000.0
852,7.0,1284.1808176100628,2.0,51000.0,2.0,11.0,5.0,110.0,4.0,550013.0
470,7.0,1284.1808176100628,2.0,102000.0,2.0,11.0,5.0,101.0,5.0,450027.0
15,4.0,1214.0,3.0,81000.0,2.0,8.0,5.0,111.0,1.0,60043.0
688,7.0,1191.5,3.0,70000.0,2.0,11.0,9.0,107.0,5.0,450032.0
819,4.0,1284.1808176100628,2.0,81000.0,1.0,8.0,9.0,100.0,5.0,72000.0
485,7.0,1265.0,3.0,118000.0,2.0,11.0,5.0,106.0,5.0,450080.0
970,5.0,1251.5,3.0,124000.0,2.0,15.0,9.0,112.0,4.0,60091.0
148,5.0,1239.5,3.0,78000.0,2.0,15.0,5.0,112.0,4.0,450015.0
687,5.0,1223.0,3.0,54000.0,2.0,15.0,-1.0,112.0,4.0,450018.0
129,7.0,1277.0,3.0,98000.0,2.0,11.0,5.0,92.0,5.0,60036.0
842,7.0,1223.0,3.0,78000.0,2.0,11.0,-1.0,75.0,5.0,450007.0
533,7.0,1284.1808176100628,3.0,203000.0,2.0,11.0,-1.0,107.0,4.0,450012.0
117,4.0,1307.0,1.0,133000.0,2.0,8.0,5.0,110.0,3.0,60043.0
780,4.0,1227.5,1.0,150000.0,2.0,8.0,5.0,78.0,3.0,72000.0
389,7.0,1308.5,1.0,121039.19781221513,1.9269406392694064,10.865753424657534,4.821917808219178,100.79963235294117,4.188868613138686,151009.0
350,4.0,1253.0,3.0,84000.0,2.0,8.0,5.0,107.0,4.0,72001.0
161,4.0,1272.5,3.0,170000.0,2.0,8.0,5.0,110.0,4.0,60019.0
251,4.0,1352.0,1.0,128000.0,1.9269406392694064,10.865753424657534,4.821917808219178,100.79963235294117,4.188868613138686,60058.0
914,4.0,1331.0,3.0,341000.0,2.0,8.0,9.0,114.0,5.0,72001.0
314,4.0,1290.5,3.0,140000.0,2.0,8.0,9.0,101.0,5.0,60063.0
954,5.0,1212.5,3.0,67000.0,2.0,15.0,9.0,110.0,5.0,60083.0
488,7.0,1284.1808176100628,2.0,117000.0,2.0,11.0,-1.0,87.0,3.0,332720.0
33,7.0,1259.0,3.0,74000.0,2.0,11.0,5.0,95.0,5.0,60036.0
274,7.0,1289.0,3.0,68000.0,1.0,11.0,5.0,86.0,3.0,60016.0
465,7.0,1268.0,1.0,379000.0,2.0,11.0,-1.0,108.0,5.0,151304.0
98,4.0,1304.0,3.0,60000.0,2.0,8.0,2.0,95.0,5.0,60058.0
157,7.0,1346.0,1.0,112000.0,2.0,11.0,5.0,85.0,5.0,60064.0
412,4.0,1227.5,1.0,110000.0,2.0,8.0,-1.0,98.0,5.0,361036.0
182,7.0,1308.5,3.0,143000.0,2.0,11.0,5.0,100.79963235294117,3.0,151009.0
199,5.0,1269.5,1.0,77000.0,1.0,15.0,-1.0,84.0,5.0,450000.0
547,6.0,1241.0,1.0,74000.0,2.0,6.0,-1.0,105.0,3.0,60027.0
933,4.0,1373.0,3.0,369000.0,2.0,8.0,7.0,108.0,5.0,330005.0
730,7.0,1340.0,1.0,99000.0,2.0,11.0,-1.0,85.0,5.0,350069.0
140,4.0,1356.5,1.0,148000.0,2.0,8.0,5.0,83.0,3.0,60001.0
606,7.0,1227.5,3.0,90000.0,1.0,11.0,5.0,100.0,3.0,60040.0
660,5.0,1241.0,3.0,54000.0,2.0,15.0,5.0,112.0,4.0,151300.0
890,5.0,1241.0,1.0,78000.0,2.0,15.0,-1.0,77.0,5.0,450033.0
912,7.0,1287.5,3.0,164000.0,2.0,11.0,5.0,100.0,5.0,60026.0
238,4.0,1238.0,3.0,75000.0,2.0,8.0,5.0,104.0,4.0,72001.0
637,7.0,1289.0,1.0,97000.0,2.0,11.0,9.0,110.0,3.0,72008.0
566,7.0,1278.5,3.0,114000.0,2.0,11.0,9.0,112.0,1.0,60010.0
156,7.0,1317.5,3.0,150000.0,2.0,11.0,5.0,112.0,5.0,450042.0
1052,7.0,1284.1808176100628,2.0,78000.0,2.0,11.0,9.0,84.0,3.0,60031.0
1034,7.0,1272.5,3.0,50000.0,2.0,11.0,7.0,115.0,4.0,60007.0
613,4.0,1347.5,1.0,138000.0,2.0,8.0,5.0,102.0,5.0,60013.0
139,4.0,1277.0,3.0,100000.0,2.0,8.0,5.0,100.0,5.0,60000.0
886,7.0,1259.0,3.0,86000.0,2.0,11.0,5.0,88.0,5.0,72000.0
262,4.0,1257.5,1.0,110000.0,2.0,8.0,5.0,89.0,3.0,350063.0
154,5.0,1274.0,3.0,127000.0,2.0,15.0,9.0,113.0,4.0,72001.0
776,5.0,1241.0,3.0,62000.0,2.0,15.0,9.0,95.0,4.0,60023.0
1056,7.0,1326.5,1.0,141000.0,2.0,11.0,-1.0,67.0,5.0,60007.0
542,7.0,1323.5,1.0,122000.0,2.0,11.0,5.0,86.0,3.0,151300.0
468,7.0,1218.5,1.0,101000.0,2.0,11.0,3.0,101.0,3.0,350100.0
833,4.0,1284.1808176100628,2.0,105000.0,1.0,8.0,5.0,99.0,5.0,151300.0
353,5.0,1116.5,3.0,214000.0,2.0,15.0,9.0,112.0,4.0,60019.0
827,5.0,1322.0,3.0,71000.0,2.0,15.0,5.0,114.0,4.0,510034.0
23,4.0,1320.5,3.0,164000.0,1.0,8.0,5.0,105.0,5.0,151300.0
821,5.0,1214.0,3.0,114000.0,2.0,15.0,5.0,90.0,5.0,60091.0
1037,7.0,1274.0,1.0,120000.0,2.0,11.0,5.0,84.0,5.0,151300.0
228,4.0,1349.0,3.0,139000.0,2.0,8.0,5.0,109.0,5.0,151304.0
717,4.0,1260.5,3.0,143000.0,2.0,8.0,9.0,110.0,4.0,60016.0
939,7.0,1223.0,3.0,63000.0,2.0,11.0,5.0,113.0,4.0,151300.0
938,7.0,1286.0,3.0,260000.0,2.0,11.0,5.0,109.0,3.0,151300.0
567,5.0,1230.5,3.0,61000.0,2.0,15.0,5.0,109.0,4.0,60020.0
936,4.0,1305.5,1.0,128000.0,2.0,8.0,3.0,96.0,3.0,60042.0
534,7.0,1284.1808176100628,2.0,70000.0,2.0,11.0,9.0,110.0,4.0,151304.0
734,5.0,1191.5,3.0,61000.0,2.0,15.0,-1.0,111.0,4.0,72001.0
52,5.0,1350.5,1.0,237000.0,2.0,15.0,8.0,86.0,3.0,60085.0
